stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
751,REY57OB,REYNOLDS & 57st SB,,32.039659,-81.097311,,,,,,0
752,REYCOOB,REYNOLDS & COLUMBUS SB,,32.037944,-81.097959,,,,,,0
753,REYLAOB,REYNOLDS & LAFAYETTE SB,,32.03606,-81.098608,,,,,,0
754,REY63OB,REYNOLDS & 63rd SB,REYNOLDS ST & LAMARA DR,32.034031,-81.099405,,,,,,0
755,REY65OH,REYNOLDS & 65th SB,REYNOLDS ST & E 65TH ST,32.032047,-81.100117,,,,,,0
756,REYBR,REYNOLDS & BRANDYWINE SB,,32.029974,-81.100807,,,,,,0
757,REYSS,REYNOLDS & SOMERSET SB,REYNOLDS ST & SOMERSET DR,32.027883,-81.101626,,,,,,0
759,REYBRAN,REYNOLDS & BRANDYWIN NB,,32.030028,-81.100744,,,,,,0
760,REY65,REYNOLDS & 65th NB,,32.031554,-81.100191,,,,,,0
762,65THPOB,65th & PAULSEN EB,,32.030702,-81.096053,,,,,,0
763,PAU67OB,PAULSEN & 67th SB,,32.029598,-81.096286,,,,,,0
764,PAU69OB,PAULSEN & 69th SB,,32.02835,-81.096786,,,,,,0
765,PAU72OB,PAULSEN & 72nd SB,,32.026519,-81.097519,,,,,,0
768,DERWDOB,DERENNE & WOODLAND EB,,32.022303,-81.086914,,,,,,0
770,DERLATOB,DERENNE & LATIMER EB,,32.020769,-81.080957,,,,,,0
771,DERMOROB,DERENNE & MORGAN EB,,32.020302,-81.078958,,,,,,0
772,DERSKOB,DERENNE & SKIDAWAY EB,,32.019396,-81.075427,,,,,,0
773,DERBAOB,DERENNE & BARRY EB,,32.018651,-81.072597,,,,,,0
774,DEREMOB,DERENNE & EMORY EB,,32.018113,-81.070598,,,,,,0
776,LARJAOB,LAROCHE & JASMINE SB,LAROCHE AVE & JASMINE AVE,32.016219,-81.066386,,,,,,0
777,LARMCOB,LAROCHE & MICHAEL SB,LA ROCHE AVE & AIMAR AVE,32.013472,-81.06544,,,,,,0
778,LARREOB,LAROCHE & RESIDENCE 5617 SB,LA ROCHE AVE & AIMAR AVE,32.011614,-81.065068,,,,,,0
779,LARMOOB,LAROCHE & MAJESTIC OAKS SB,LA ROCHE AVE & MAJESTIC OAKS DR,32.007342,-81.065621,,,,,,0
781,NOTLARO,NOTTINGHAM & LAROCHE WB,,32.001275,-81.063952,,,,,,0
784,NDRHDOB,NOTTINGHAM & ROBIN HOOD WB,,31.999291,-81.071555,,,,,,0
785,BAHFOB,BEAUMONT & HOWARD FOSS WB,HOWARD FOSS DR & BEAUMONT DR,31.999148,-81.073746,,,,,,0
786,BADAMOB,BEAUMONT & DAMASCUS WB,,31.999534,-81.07533,,,,,,0
787,SKIBEAU,SKIDAWAY & BEAUMONT SB,,31.999973,-81.077584,,,,,,0
788,SKIEASB,SKIDAWAY & EISENBERG SB,,31.997281,-81.078094,,,,,,0
789,SCMEMOB,SCOTT & MEMORIAL STADIUM WB,,31.994525,-81.078977,,,,,,0
790,SCOVAOB,SCOTT & VARNEDOE WB,,31.993888,-81.081114,,,,,,0
791,VARMCOB,VARNEDOE & MONTGOMERY CROSS SB,,31.990863,-81.081135,,,,,,0
792,SKIDEIS,SKIDAWAY & EISENHOWER NB,SKIDAWAY RD & BEAUMONT DR,32.000449,-81.077329,,,,,,0
794,SKIBRIB,SKIDAWAY & BROOKVIEW NB,,32.004443,-81.076957,,,,,,0
795,SKIBPIB,SKIDAWAY & BACON PARK TENNIS NB,,32.007414,-81.078074,,,,,,0
796,SKITEIB,SKIDAWAY & TERESA NB,,32.014657,-81.077362,,,,,,0
798,SKICOIB,SKIDAWAY & COKESBURY NB,,32.018983,-81.075267,,,,,,0
799,DERREIB,DERENNE & 2032 RES WB,,32.019638,-81.076245,,,,,,0
800,DERALIB,DERENNE & ALLEGHENY WB,,32.020114,-81.078086,,,,,,0
801,DERDCIB,DERENNE & DERENNE CT WB,,32.020581,-81.080053,,,,,,0
802,DERJHIB,DERENNE & JENKINS HIGH WB,,32.021325,-81.082946,,,,,,0
803,DERRAIB,DERENNE & RANGER WB,,32.02329,-81.090871,,,,,,0
804,DERFRIB,DERENNE & FREDERICK WB,,32.025084,-81.096562,,,,,,0
805,PAU71IB,PAULSON & 71st NB,,32.026753,-81.097381,,,,,,0
806,PAU69IB,PAULSON & 69th NB,,32.027991,-81.096882,,,,,,0
807,PAU67IB,PAULSON & 67th NB,,32.029239,-81.096382,,,,,,0
808,65MEDIB,65th & MEDICAL ARTS BLDG WB,,32.03081,-81.096329,,,,,,0
809,65ALTIB,65th & ATLANTIC WB,,32.031231,-81.097978,,,,,,0
810,65REYIB,65th & REYNOLDS WB,,32.031697,-81.099883,,,,,,0
811,REY63IB,REYNOLDS & 63rd NB,,32.033564,-81.09949,,,,,,0
812,REY61IB,REYNOLDS & 61st NB,,32.035683,-81.098703,,,,,,0
813,REYCOIB,REYNOLDS & COLUMBUS NB,,32.037469,-81.098097,,,,,,0
814,REY57IB,REYNOLDS & 57th NB,,32.03921,-81.097417,,,,,,0
815,REY55IB,REYNOLDS & 55th NB,,32.040996,-81.096758,,,,,,0
816,REY53IB,REYNOLDS & 53rd NB,,32.042531,-81.096216,,,,,,0
817,REY51IB,REYNOLDS & 51st NB,REYNOLDS ST & E 51ST ST,32.044236,-81.09561,,,,,,0
818,REY49IB,REYNOLDS & 49th NB,,32.045529,-81.095142,,,,,,0
819,REYWAIB,REYNOLDS & WASHINGTON NB,,32.047126,-81.094568,,,,,,0
820,REY45IB,REYNOLDS & 45th NB,REYNOLDS ST & E 45TH ST,32.048742,-81.093984,,,,,,0
821,REYVIIB,REYNOLDS & VICTORY NB,,32.050151,-81.093441,,,,,,0
822,REY41IB,REYNOLDS & 41st NB,,32.05121,-81.09308,,,,,,0
